start,title,source,region,location,tags,topic,city,priority_score,url
2026-06-23T00:00:00+00:00,"MedTech Startups, Investors, Innovators Networking Event NYC",Eventbrite NYC Fintech,US,"The Back Room, 102 Norfolk Street, New York, NY, US","fintech, health",health,nyc,9,https://www.eventbrite.com/e/medtech-startups-investors-innovators-networking-event-nyc-tickets-1988351361447
2026-06-23T00:00:00+00:00,NAHSE Chicago C-Suite Roundtable: Innovation & Equity in Healthcare,Eventbrite Chicago Healthcare,US,"5841 South Maryland Avenue, Chicago, IL, US","health, healthcare",health,chicago,9,https://www.eventbrite.com/e/nahse-chicago-c-suite-roundtable-innovation-equity-in-healthcare-tickets-1990834826558
2026-06-23T00:00:00+00:00,"NYC HealthTech & MedTech Startups, Investors, Innovators Networking Event",Eventbrite NYC Fintech,US,"102 Norfolk Street, New York, NY, US","fintech, health",health,nyc,9,https://www.eventbrite.com/e/nyc-healthtech-medtech-startups-investors-innovators-networking-event-tickets-1988350632266
2026-06-23T00:00:00+00:00,"NYC HealthTech, MedTech Startups Networking & Pitch Event",Eventbrite NYC Fintech,US,"102 Norfolk Street, New York, NY, US","fintech, health",health,nyc,9,https://www.eventbrite.com/e/nyc-healthtech-medtech-startups-networking-pitch-event-tickets-1989091793098
2026-06-23T00:00:00+00:00,Denver CISO Community Executive Summit,Evanta CISO Calendar,US,"Denver, US","ciso, security",broad,other-us,8,https://www.evanta.com/calendar
2026-06-23T00:00:00+00:00,Seattle CISO Community Executive Summit,Evanta CISO Calendar,US,"Seattle, US","ciso, security",broad,other-us,8,https://www.evanta.com/calendar
2026-06-23T00:00:00+00:00,International Workshop on Artificial Intelligence and Industrial IoT Security (AIoTS) 2026,InfoSec Conferences,Global,"Stony Brook, New York, US","cyber, cybersecurity, infosec, privacy, security",broad,nyc,5,https://infosec-conferences.com/event/20260623-international-workshop-on-artificial-intelligence-and-industrial-iot/
2026-06-23T00:00:00+00:00,CyAD Summit: Cybersecurity Across Disciplines 2026,InfoSec Conferences,Global,"Palos Hills, Illinois, US","cyber, cybersecurity, infosec, security",broad,other-us,4,https://infosec-conferences.com/event/20260623-cyad-summit-cybersecurity-across-disciplines-2026/
2026-06-23T00:00:00+00:00,NextG Networks Cryptography and Security (NextG-Sec) 2026,InfoSec Conferences,Global,"Stony Brook, New York, US","infosec, privacy, security",broad,nyc,3,https://infosec-conferences.com/event/20260623-nextg-networks-cryptography-and-security-nextg-sec-2026/
2026-06-23T00:00:00+00:00,Summerfest Tech 2026,InfoSec Conferences,Global,"Milwaukee, Wisconsin, US","infosec, security",broad,other-us,2,https://infosec-conferences.com/event/20260623-summerfest-tech-2026/
2026-06-23T01:30:00+00:00,🇯🇵 Japan × Global Tech Meetup: pre-Config networking 🌐 日本 × グローバル テック交流会,Luma SF Discover,Bay Area,"ZOË, San Francisco, California, US",tech,broad,sf,9,https://luma.com/wu78sd6q
2026-06-23T14:30:00+00:00,NVIDIA x AI Builders: Coffee & Conversation,Luma Chicago Discover,US,"Edelman, Chicago, Illinois, US",ai,broad,chicago,1,https://luma.com/1871-k10l
2026-06-23T17:00:00+00:00,Physical AI Investor Mixer,Luma SF Discover,Bay Area,"San Francisco, California, US",ai,broad,sf,9,https://luma.com/deep-2pbu
2026-06-23T19:30:00+00:00,"ISACA Chicago Chapter Monthly Meeting | In-Person Event | June 23, 2026",ISACA Chicago,US,"CME Center - Zo Conference room, 10 S. Wacker Drive, Chicago, IL 60606","risk, security",broad,chicago,5,https://engage.isaca.org/chicagochapter/events/calendar
2026-06-23T22:00:00+00:00,Civic tech meetup @ Config 2026,Luma SF Discover,Bay Area,"Moscone Center, San Francisco, California, US",tech,broad,sf,9,https://luma.com/lz66ve3n
2026-06-23T22:00:00+00:00,Beauty in Balance Tech for Creatives NYC Panel: Hosted at TikTok NY HQ,Luma NYC Discover,US,"151 W 42nd St, New York, New York, US",tech,broad,nyc,1,https://luma.com/lu9xsy8h
2026-06-23T22:30:00+00:00,Kleiner Perkins × OpenEvidence: AI Engineers at the Frontier,Luma NYC Discover,US,"New York, New York, US",ai,broad,nyc,1,https://luma.com/wmlvds6k
2026-06-24T00:00:00+00:00,AI Tech Startup & Investor Networking by AstraTech I San Francisco,Eventbrite SF Fintech,US,"775 Frederick Street, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/ai-tech-startup-investor-networking-by-astratech-i-san-francisco-tickets-1989838310953
2026-06-24T00:00:00+00:00,Tech Startup Networking San Francisco Series A Venture Capital Event,Eventbrite SF Fintech,US,"San Francisco, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.co.uk/e/tech-startup-networking-san-francisco-series-a-venture-capital-event-tickets-1985173693958
